Item Id,Item Name,Price,Sales,Shop Name,Commission,Rate,Commission,Product Link,Offer Link,imagem
"2TtYknb","Celular Samsung Galaxy A16 128gb 4gb Ram Câmera De Até 50mp Tela 6.7 Nfc Ip54 Bateria 5000 Mah Cinza","R$ 1.999","| +50mil vendidos","Mercado Livre","0","","0","https://mercadolivre.com/sec/2TtYknb","https://mercadolivre.com/sec/2TtYknb","https://http2.mlstatic.com/D_Q_NP_2X_800632-MLA96866328473_102025-AB.webp"
"191QdHf","Smartphone Motorola Moto G15 - 128gb 12gb (4gb Ram+8gb Ram Boost) E Camera 50mp Com Ai E Night Vision Bateria De 5200 Mah Tela Fhd+ 6.7 Com Superbrilho Nfc Azul Claro","R$ 699","| +50mil vendidos","Mercado Livre","0","","0","https://mercadolivre.com/sec/191QdHf","https://mercadolivre.com/sec/191QdHf","https://http2.mlstatic.com/D_Q_NP_2X_970543-MLA100008320341_122025-AB.webp"
"2p1hyo9","Celular Samsung Galaxy A16 128gb 4gb Ram Câmera 50mp Tela 6.7 Nfc Preto","R$ 1.522","| +50mil vendidos","Mercado Livre","0","","0","https://mercadolivre.com/sec/2p1hyo9","https://mercadolivre.com/sec/2p1hyo9","https://http2.mlstatic.com/D_Q_NP_2X_707658-MLA96866257617_102025-AB.webp"
"2cAbpk8","Smartphone Motorola Moto G15 - 256gb 12gb (4gb Ram+8gb Ram Boost) E Camera 50mp Com Ai E Night Vision Bateria De 5200 Mah Tela Fhd+ 6.7 Com Superbrilho Nfc - Grafite","R$ 885,56","| +100mil vendidos","Mercado Livre","0","","0","https://mercadolivre.com/sec/2cAbpk8","https://mercadolivre.com/sec/2cAbpk8","https://http2.mlstatic.com/D_Q_NP_2X_650904-MLA100002714503_112025-AB.webp"
"11oHDRj","Creatina Monohidratada Pura 500g Dark Lab Unidade","R$ 99,90","| +1M vendidos","Mercado Livre","0","","0","https://mercadolivre.com/sec/11oHDRj","https://mercadolivre.com/sec/11oHDRj","https://http2.mlstatic.com/D_Q_NP_2X_942122-MLA99923169249_112025-AB.webp"
"1vD3Lwf","Bicicleta Spinning Com Roda De Inércia De 13kg Wct Fitness Cor Preto","R$ 1.499","| +10mil vendidos","Mercado Livre","0","","0","https://mercadolivre.com/sec/1vD3Lwf","https://mercadolivre.com/sec/1vD3Lwf","https://http2.mlstatic.com/D_Q_NP_2X_656445-MLA99975799381_112025-AB.webp"
"2VrQvmo","Tab A9 64gb 4gb Ram Enterprise Edition Tela 8.7.  X115 4g Grafite","R$ 1.331","| +50mil vendidos","Mercado Livre","0","","0","https://mercadolivre.com/sec/2VrQvmo","https://mercadolivre.com/sec/2VrQvmo","https://http2.mlstatic.com/D_Q_NP_2X_826577-MLA96868181557_102025-AB.webp"
"2MwaVkA","Celular Samsung Galaxy A07 256gb, 8gb, Câmera 50mp, Tela 6.7 , Proteção Ip54, Processador 6nm - Preto","R$ 847,09","| +5mil vendidos","Mercado Livre","0","","0","https://mercadolivre.com/sec/2MwaVkA","https://mercadolivre.com/sec/2MwaVkA","https://http2.mlstatic.com/D_Q_NP_2X_661662-MLA99527507964_122025-AB.webp"
"28mUki7","Celular Samsung Galaxy A07 256gb, 8gb, Câmera 50mp, Tela 6.7 , Proteção Ip54, Processador 6nm - Violeta","R$ 847,09","| +5mil vendidos","Mercado Livre","0","","0","https://mercadolivre.com/sec/28mUki7","https://mercadolivre.com/sec/28mUki7","https://http2.mlstatic.com/D_Q_NP_2X_770587-MLA99849407693_112025-AB.webp"
"1KMKS9o","Smartphone Motorola Moto G35 5g - 128gb 12gb (4gb Ram+8gb Ram Boost) E Camera 50mp Com Ai Nfc Tela 6.7  Com Superbrilho - Verde - Vegan Leather","R$ 1.391","| +10mil vendidos","Mercado Livre","0","","0","https://mercadolivre.com/sec/1KMKS9o","https://mercadolivre.com/sec/1KMKS9o","https://http2.mlstatic.com/D_Q_NP_2X_983786-MLA99479656582_112025-AB.webp"
